Asset,Avg_Return,Volatility,Liquidity,Market_Risk,Timing_Risk,Composite_Risk_Score,Risk_Level
Natural_Gas,0.03284354924253022,0.25549050323899664,150060.68055555556,0.10142431346357045,-0.09136764800859105,0.0962265355849064,High
Crude_oil,0.012734019714848135,0.1477024002732896,419047.7083333333,0.10142431346357045,-0.09136764800859105,0.07064615356468543,Medium
Copper,0.0065548980528310485,0.10772598927453973,29949.962962962964,0.10142431346357045,-0.09136764800859105,0.06142124756449163,Low
Bitcoin,0.06185984830937504,0.35583562287749165,122520751.05864197,0.10142431346357045,-0.09136764800859105,0.1220974881641822,High
Platinum,0.00455178545899153,0.09943786258615267,6980.992283950617,0.10142431346357045,-0.09136764800859105,0.05938497112578728,Low
Ethereum,0.09724746915611883,0.4635980013746972,43306639.14660493,0.10142431346357045,-0.09136764800859105,0.15072749101882504,High
Apple,0.006863560574405066,0.10268399267107352,91517251.5432099,0.10142431346357045,-0.09136764800859105,0.06046790512890834,Low
Tesla,0.03142813673756999,0.23596148671010414,95577330.2469136,0.10142431346357045,-0.09136764800859105,0.09203631907651354,High
Microsoft,0.010279067755487547,0.11980426152561181,27541208.333333332,0.10142431346357045,-0.09136764800859105,0.06457506541249768,Medium
Silver,0.004152557278000482,0.10231915499689537,70945.83024691358,0.10142431346357045,-0.09136764800859105,0.059855553801627846,Low
Google,0.013413346398161172,0.1453347393055906,31848685.185185187,0.10142431346357045,-0.09136764800859105,0.07030801571487674,Medium
Nvidia,0.047193836857749735,0.29655553469036966,43490560.18518519,0.10142431346357045,-0.09136764800859105,0.10730827120275528,High
Berkshire,0.005195767078659649,0.07748401351331805,2119.291666666667,0.10142431346357045,-0.09136764800859105,0.055188719566711765,Low
Netflix,0.038565346661425644,0.2725997233867119,5339106.481481481,0.10142431346357045,-0.09136764800859105,0.10079144376351126,High
Amazon,0.00807707412843124,0.11618386183266015,73214038.58024693,0.10142431346357045,-0.09136764800859105,0.06341058221836712,Medium
Meta,0.02499677698610293,0.22187239260470917,24232200.617283948,0.10142431346357045,-0.09136764800859105,0.08793223446607543,Medium
Gold,0.0012712720772950774,0.050222825840749434,202065.03703703705,0.10142431346357045,-0.09136764800859105,0.048858201658375955,Low
